Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
C-149-02,Tracker,342495.1997,3311795.314,6,45,3.92,2,,
C-149-02,Bridge,342497.1587,3311794.974,7,0.82,0.6,3,,
C-149-02,Tracker,342495.1997,3311749.556,8,45,3.92,2,,
C-149-02,Bridge,342497.1587,3311749.216,9,0.82,0.6,3,,
C-149-02,Tracker,342495.1997,3311718.813,10,30,3.92,2,,
C-149-02,Bridge,342497.1587,3311718.473,11,0.82,0.6,3,,
C-149-02,Tracker,342495.1997,3311688.055,12,30,3.92,2,,
C-150-01,Tracker,342505.9997,3312247.344,0,45,3.92,2,,
C-150-01,Bridge,342507.9587,3312247.004,1,0.64,0.6,3,,
C-150-01,Tracker,342505.9997,3312201.586,2,45,3.92,2,,
C-150-01,Bridge,342507.9587,3312201.246,3,0.64,0.6,3,,
C-150-01,Tracker,342505.9997,3312155.828,4,45,3.92,2,,
C-150-01,Bridge,342507.9587,3312155.488,5,0.82,0.6,3,,
C-150-01,Tracker,342505.9997,3312110.07,6,45,3.92,2,,
C-150-01,Dock,342505.9464,3312109.645,7,1.05,0.9,0,Central,South
C-150-01,Tracker,342505.9997,3312064.112,8,45,3.92,2,,
C-150-01,Bridge,342507.9587,3312063.772,9,0.82,0.6,3,,
C-150-01,Tracker,342505.9997,3312018.354,10,45,3.92,2,,
C-150-01,Bridge,342507.9587,3312018.014,11,0.64,0.6,3,,
C-150-01,Tracker,342505.9997,3311972.596,12,45,3.92,2,,
,Gap,342507.9587,3311972.256,0,0.82,-1,0,,
C-150-02,Tracker,342505.9997,3311926.838,0,45,3.92,2,,
C-150-02,Bridge,342507.9587,3311926.498,1,0.64,0.6,3,,
C-150-02,Tracker,342505.9997,3311881.08,2,45,3.92,2,,
C-150-02,Bridge,342507.9587,3311880.74,3,0.64,0.6,3,,
C-150-02,Tracker,342505.9997,3311835.322,4,45,3.92,2,,
C-150-02,Dock,342505.9997,3311834.897,5,1.05,0.9,0,Central,South
C-150-02,Tracker,342505.9997,3311789.364,6,45,3.92,2,,
C-150-02,Bridge,342507.9587,3311789.024,7,0.82,0.6,3,,
C-150-02,Tracker,342505.9997,3311758.621,8,30,3.92,2,,
C-150-02,Bridge,342507.9587,3311758.281,9,0.82,0.6,3,,
C-150-02,Tracker,342505.9997,3311727.863,10,30,3.92,2,,
C-151-01,Tracker,342516.7997,3312241.394,0,45,3.92,2,,
C-151-01,Bridge,342518.7587,3312241.054,1,0.82,0.6,3,,
C-151-01,Tracker,342516.7997,3312195.636,2,45,3.92,2,,
C-151-01,Bridge,342518.7587,3312195.296,3,0.82,0.6,3,,
C-151-01,Tracker,342516.7997,3312149.878,4,45,3.92,2,,
C-151-01,Bridge,342518.7587,3312149.538,5,0.82,0.6,3,,
C-151-01,Tracker,342516.7997,3312104.12,6,45,3.92,2,,
C-151-01,Dock,342516.7464,3312103.695,7,1.05,0.9,0,Central,South
C-151-01,Tracker,342516.7997,3312058.162,8,45,3.92,2,,
C-151-01,Bridge,342518.7587,3312057.822,9,0.82,0.6,3,,
C-151-01,Tracker,342516.7997,3312012.404,10,45,3.92,2,,
C-151-01,Bridge,342518.7587,3312012.064,11,0.82,0.6,3,,
C-151-01,Tracker,342516.7997,3311966.646,12,45,3.92,2,,
,Gap,342518.7587,3311966.306,0,0.64,-1,0,,
C-151-02,Tracker,342516.7997,3311920.888,0,45,3.92,2,,
C-151-02,Bridge,342518.7587,3311920.548,1,0.64,0.6,3,,
C-151-02,Tracker,342516.7997,3311875.13,2,45,3.92,2,,
C-151-02,Bridge,342518.7587,3311874.79,3,0.64,0.6,3,,
C-151-02,Tracker,342516.7997,3311829.372,4,45,3.92,2,,
C-151-02,Dock,342516.7997,3311828.932,5,1.05,0.9,0,Central,South
C-151-02,Tracker,342516.7997,3311798.429,6,30,3.92,2,,
C-151-02,Bridge,342518.7587,3311798.089,7,0.82,0.6,3,,
