Block,Array,Row,Entity,Entity Name,Position X,Position Y,Area,Gap,Soltec Name,Full,docking,tracker length,bridge type
A,A-012,A-012-01,Tracker,A-012-01-T07/13,342171.1997,3313270.938,120,,TR 17.A.05.6,ANG2-A-012-01-T07/13,,,
A,A-012,A-012-01,Bridge,A-012-01-B06/14,342173.1587,3313270.598,,40-64,,ANG2-A-012-01-B06/14,,,
A,A-012,A-012-01,Tracker,A-012-01-T08/15,342171.1997,3313240.18,120,,TR 17.A.05.8,ANG2-A-012-01-T08/15,,,
A,A-013,A-013-01,Tracker,A-013-01-T01/01,342181.9997,3313509.721,180,,TR 19.A.06.2,ANG2-A-013-01-T01/01,,,
A,A-013,A-013-01,Bridge,A-013-01-B01/02,342183.9587,3313509.381,,40-64,,ANG2-A-013-01-B01/02,,,
A,A-013,A-013-01,Tracker,A-013-01-T02/03,342181.9997,3313463.963,180,,TR 19.A.06.3,ANG2-A-013-01-T02/03,,,
A,A-013,A-013-01,Bridge,A-013-01-B02/04,342183.9587,3313463.623,,40-64,,ANG2-A-013-01-B02/04,,,
A,A-013,A-013-01,Tracker,A-013-01-T03/05,342181.9997,3313418.205,180,,TR 19.A.06.5,ANG2-A-013-01-T03/05,,,
A,A-013,A-013-01,Bridge,A-013-01-B03/06,342183.9587,3313417.865,,40-64,,ANG2-A-013-01-B03/06,,,
A,A-013,A-013-01,Tracker,A-013-01-T04/07,342181.9997,3313372.447,180,,TR 19.A.15.1,ANG2-A-013-01-T04/07,,,
A,A-013,A-013-01,Dock,A-013-01-D01/08,342181.9464,3313372.022,,76-105,,ANG2-A-013-01-D01/08,,,
A,A-013,A-013-01,Tracker,A-013-01-T05/09,342181.9997,3313326.489,180,,TR 19.A.15.4,ANG2-A-013-01-T05/09,,,
A,A-013,A-013-01,Bridge,A-013-01-B04/10,342183.9587,3313326.149,,65-82,,ANG2-A-013-01-B04/10,,,
A,A-013,A-013-01,Tracker,A-013-01-T06/11,342181.9997,3313295.746,120,,TR 17.A.06.1,ANG2-A-013-01-T06/11,,,
A,A-013,A-013-01,Bridge,A-013-01-B05/12,342183.9587,3313295.406,,40-64,,ANG2-A-013-01-B05/12,,,
A,A-013,A-013-01,Tracker,A-013-01-T07/13,342181.9997,3313264.988,120,,TR 17.A.06.4,ANG2-A-013-01-T07/13,,,
A,A-013,A-013-01,Bridge,A-013-01-B06/14,342183.9587,3313264.648,,40-64,,ANG2-A-013-01-B06/14,,,
A,A-013,A-013-01,Tracker,A-013-01-T08/15,342181.9997,3313234.23,120,,TR 17.A.05.9,ANG2-A-013-01-T08/15,,,
A,A-014,A-014-01,Tracker,A-014-01-T01/01,342192.7997,3313503.77,180,,TR 19.A.07.1,ANG2-A-014-01-T01/01,,,
A,A-014,A-014-01,Bridge,A-014-01-B01/02,342194.7587,3313503.43,,40-64,,ANG2-A-014-01-B01/02,,,
A,A-014,A-014-01,Tracker,A-014-01-T02/03,342192.7997,3313458.012,180,,TR 19.A.06.4,ANG2-A-014-01-T02/03,,,
A,A-014,A-014-01,Bridge,A-014-01-B02/04,342194.7587,3313457.672,,40-64,,ANG2-A-014-01-B02/04,,,
A,A-014,A-014-01,Tracker,A-014-01-T03/05,342192.7997,3313412.254,180,,TR 19.A.06.6,ANG2-A-014-01-T03/05,,,
A,A-014,A-014-01,Bridge,A-014-01-B03/06,342194.7587,3313411.914,,40-64,,ANG2-A-014-01-B03/06,,,
A,A-014,A-014-01,Tracker,A-014-01-T04/07,342192.7997,3313366.496,180,,TR 19.A.15.2,ANG2-A-014-01-T04/07,,,
A,A-014,A-014-01,Dock,A-014-01-D01/08,342192.7464,3313366.071,,76-105,,ANG2-A-014-01-D01/08,,,
A,A-014,A-014-01,Tracker,A-014-01-T05/09,342192.7997,3313320.538,180,,TR 19.A.15.5,ANG2-A-014-01-T05/09,,,
A,A-014,A-014-01,Bridge,A-014-01-B04/10,342194.7587,3313320.198,,40-64,,ANG2-A-014-01-B04/10,,,
A,A-014,A-014-01,Tracker,A-014-01-T06/11,342192.7997,3313289.795,120,,TR 17.A.06.2,ANG2-A-014-01-T06/11,,,
A,A-014,A-014-01,Bridge,A-014-01-B05/12,342194.7587,3313289.455,,65-82,,ANG2-A-014-01-B05/12,,,
A,A-014,A-014-01,Tracker,A-014-01-T07/13,342192.7997,3313259.037,120,,TR 17.A.06.5,ANG2-A-014-01-T07/13,,,
A,A-014,A-014-01,Bridge,A-014-01-B06/14,342194.7587,3313258.697,,65-82,,ANG2-A-014-01-B06/14,,,
A,A-014,A-014-01,Tracker,A-014-01-T08/15,342192.7997,3313228.279,120,,TR 17.A.06.7,ANG2-A-014-01-T08/15,,,
A,A-015,A-015-01,Tracker,A-015-01-T01/01,342203.5997,3313497.82,180,,TR 19.A.07.2,ANG2-A-015-01-T01/01,,,
A,A-015,A-015-01,Bridge,A-015-01-B01/02,342205.5587,3313497.48,,40-64,,ANG2-A-015-01-B01/02,,,
